,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,103.75,11.493415626621754,-70.3564850406894,17.35850597192143,9.586266009232943,59.09188309203678,158.0,208.9975903614458,230.0
2,46.75,7.715176518808164,-86.64598265696515,12.348230578166318,5.244353422964751,29.192388155425114,158.0,210.28342245989305,227.0
3,55.25,8.387281135541944,16.517868588898878,10.121081599460851,7.894459828236795,32.89949493661167,159.0,208.3891402714932,232.0
4,3.0,1.9544100476116797,90.00003218077504,3.415650255319866,1.0,6.0,159.0,199.33333333333334,225.0
5,131.0,12.914889870235298,-88.17596589104151,22.44672067424902,8.987303128153345,77.57411613907041,158.0,206.74618320610688,230.0
6,81.75,10.202319970580199,5.89352809919097,11.022904652791176,9.684967070932695,34.020815280171306,158.0,211.88073394495413,230.0
7,12.0,3.9088200952233594,-79.34396544761933,5.45674652375394,3.0765625005749095,12.63908729652601,164.0,207.25,228.0
8,53.0,8.214724333230155,84.67193974681845,9.163538965217667,8.205660510872626,29.606601717798213,161.0,209.05188679245282,233.0
9,49.5,7.938851142601841,-73.21501824935648,10.74650789745022,6.113203407300546,27.65685424949238,158.0,207.34848484848484,226.0
10,307.0,19.77080019204319,-83.16308727212105,28.38270025528352,15.403076298392307,98.92640687119285,158.0,207.31514657980455,234.0
11,369.75,21.697472702271718,-56.26466777805792,36.15345065900686,19.42933277703662,145.20458146424488,158.0,207.83705206220418,231.0
12,55.25,8.387281135541944,-86.4780689570711,16.205095870872853,4.64973187734982,35.36396103067893,159.0,206.88235294117646,224.0
13,3.75,2.1850968611841584,-45.00001609038752,2.309401076758503,2.0132891827388666,5.707106781186548,162.0,202.4,229.0
14,21.0,5.170882945826411,-57.90663060581654,6.931024319597327,4.513461279345671,20.071067811865476,165.0,204.01190476190476,230.0
15,38.25,6.978639737521917,-58.43330677220405,8.090688887036194,6.371742850889645,23.899494936611664,160.0,206.58169934640523,225.0
16,355.75,21.282738734465877,-86.934654670077,30.723866207305385,17.995209188403827,126.79036790187178,158.0,209.8910751932537,233.0
17,17.25,4.686510657907603,85.68721517626106,5.972040793575449,4.213122089018592,16.36396103067893,158.0,206.47826086956522,233.0
18,74.0,9.706684619910241,17.243994996814646,12.705954149331156,7.646417171062909,34.435028842544405,158.0,209.125,229.0
19,43.0,7.399277020331919,33.83704739655952,9.40119669108737,6.0788384030044424,25.435028842544405,159.0,208.25,226.0
20,89.5,10.674967880691588,-52.80467386328088,14.436318542127951,8.163098829315258,38.04163056034262,158.0,205.88826815642457,228.0
21,73.25,9.657370069115643,82.13005706486594,11.062690739338201,9.116430660975649,35.435028842544405,158.0,207.87372013651878,230.0
22,326.0,20.37341629633241,55.515472521575276,27.851375319092618,16.670953534661198,103.54772721475248,158.0,206.88420245398774,231.0
23,80.25,10.108287365572707,30.695380686982514,13.371161571229532,7.901302570510975,35.2634559672906,158.0,207.9595015576324,233.0
24,30.75,6.257165172872317,-13.778821682343702,6.924001338528712,5.738067108019853,19.606601717798213,159.0,205.10569105691056,228.0
25,104.5,11.534883286137944,-54.60640776912661,18.64266249698414,8.640516475549795,51.920310216782966,158.0,205.29665071770336,224.0
26,211.75,16.419758633965078,44.1669016758394,23.44646522375308,14.495266052108017,75.74873734152916,158.0,208.15466351829988,229.0
27,147.25,13.692498784453214,81.91104417118106,17.740053219959805,10.896848576930035,52.384776310850235,158.0,207.55687606112053,234.0
28,4.5,2.393653682408596,-2.6000138488768876,3.708360954253563,1.5197984827039837,6.810660171779821,163.0,206.27777777777777,225.0
29,249.75,17.83231830967603,59.52175075220649,19.952331072634966,16.820483110731956,80.54772721475248,158.0,205.56056056056056,227.0
30,86.25,10.479356408358663,-19.448173408317903,15.220444069878262,7.598109542583975,39.95279579551077,158.0,206.44347826086957,225.0
31,39.75,7.1141599576634995,-85.55985401602499,9.705043700568087,5.815227718477044,27.14213562373095,158.0,205.66037735849056,226.0
32,459.25,24.18129981865374,59.993652049286176,36.31617589609514,19.49711233949896,120.79036790187178,158.0,202.70168753402285,225.0
33,5.5,2.6462837142006137,-12.557421933154789,3.279983288401781,2.081494347509531,7.414213562373095,161.0,194.54545454545453,220.0
34,178.25,15.065024024177417,13.167416897091973,20.705244157149416,12.64365337596698,80.94112549695427,158.0,203.70967741935485,226.0
35,15.5,4.442433223290478,63.514476997692014,6.371784866986291,3.1864932924305784,14.949747468305834,162.0,203.5,226.0
36,10.5,3.656366395715726,-56.468913061862786,7.536946454094609,2.2359398047000765,15.32842712474619,161.0,200.61904761904762,229.0
37,8.75,3.3377905890622728,32.65504000694791,5.171939568465248,2.229400092763274,11.242640687119284,161.0,196.68571428571428,220.0
38,47.75,7.797255174810172,-53.93627224537508,8.53186567012454,7.447876036333812,25.849242404917497,158.0,205.0523560209424,222.0
39,211.25,16.40036139313104,11.837721348009794,22.173142328972617,14.304671491882017,71.2842712474619,159.0,206.11597633136094,223.0
40,278.5,18.83075179616424,70.9679918167438,27.207511580335666,14.674868544224795,88.42640687119285,158.0,205.16696588868942,227.0
41,30.0,6.180387232371033,15.268750434209203,6.943139092864615,5.563875306476955,19.31370849898476,163.0,204.64166666666668,225.0
42,69.5,9.40692023773423,5.363134216228025,12.013598540682395,7.7246749743769385,32.94974746830583,163.0,204.0503597122302,228.0
43,113.25,12.008096370418468,-70.02724876408271,14.136050114638909,10.34375603712494,41.09188309203678,158.0,206.01103752759383,226.0
44,10.0,3.5682482323055424,-85.54804961021871,5.001977654726825,2.6077230569240912,11.414213562373096,165.0,197.025,221.0
45,88.5,10.61516366850092,5.748193173148785,12.352413417591148,9.52627458152556,35.89949493661167,160.0,208.03389830508473,228.0
46,54.0,8.291859587312052,-16.137838983996506,9.64893735938661,7.318548996361015,27.77817459305202,158.0,202.14814814814815,217.0
47,155.5,14.070847494245605,-31.90223261671625,17.099213000201253,12.063253084338681,50.38477631085024,162.0,206.95498392282957,227.0
